"","X.1","X","ASSESSID","LME_NAME","SCIENTIFICNAME","COMMON","AREA","LME_NUMBER","LME_COUNT","BIOMASS_TS_LENGTH","LANDINGS_TS_LENGTH","B_msy","stocks1$BMSY"
"217",217,217,"NZMFishINSHOREWG-NZSNAPNZ8-1931-2005-JENSEN","New Zealand Shelf","Chrysophrys auratus","New Zealand snapper","New Zealand Area 8 (Auckland and Central West)",46,1,75,75,53383.8,53383.8
"218",218,218,"NZMFishINSHOREWG-TREVALLYTRE7-1944-2005-JENSEN","New Zealand Shelf","Pseudocaranx dentex","Trevally","New Zealand Areas TRE 7",46,1,62,62,31283.1,31283.1
"219",219,219,"NZMFishLOBSTERWG-RROCKLOBSTERCRA1-1945-2001-JENSEN","New Zealand Shelf","Jasus edwardsii",NA,NA,46,1,57,57,1550.94,1550.94
"220",220,220,"NZMFishLOBSTERWG-RROCKLOBSTERCRA2-1945-2001-JENSEN","New Zealand Shelf","Jasus edwardsii",NA,NA,46,1,57,57,2233.71,2233.71
"221",221,221,"NZMFishLOBSTERWG-RROCKLOBSTERCRA3-1945-2007-JENSEN","New Zealand Shelf","Jasus edwardsii",NA,NA,46,1,63,63,1117.87,1117.87
"222",222,222,"NZMFishLOBSTERWG-RROCKLOBSTERCRA4-1945-2005-JENSEN","New Zealand Shelf","Jasus edwardsii",NA,NA,46,1,61,61,2453.88,2453.88
"223",223,223,"NZMFishLOBSTERWG-RROCKLOBSTERCRA5-1945-2002-JENSEN","New Zealand Shelf","Jasus edwardsii",NA,NA,46,1,58,58,4205.56,4205.56
"224",224,224,"NZMFishLOBSTERWG-RROCKLOBSTERCRA7-1976-2005-JENSEN","New Zealand Shelf","Jasus edwardsii",NA,NA,46,1,30,30,558.312,558.312
"225",225,225,"NZMFishLOBSTERWG-RROCKLOBSTERCRA8-1976-2005-JENSEN","New Zealand Shelf","Jasus edwardsii",NA,NA,46,1,30,30,3342.21,3342.21
"226",226,226,"NZMFishMIDDEPTHSWG-GEMFISHNZ-1952-2007-JENSEN","New Zealand Shelf","Rexea solandri","common gemfish","New Zealand",46,1,55,55,1.12e+15,1.1152e+15
"227",227,227,"NZMFishMIDDEPTHSWG-NZLINGLIN3-4-1972-2007-JENSEN","New Zealand Shelf","Genypterus blacodes","Ling","New Zealand Areas LIN 3 and 4",46,1,36,36,91878.3,91878.3
"228",228,228,"NZMFishMIDDEPTHSWG-NZLINGLIN5-6-1972-2007-JENSEN","New Zealand Shelf","Genypterus blacodes","Ling","New Zealand Areas LIN 5 and 6",46,1,36,36,168477,168477
"229",229,229,"NZMFishMIDDEPTHSWG-NZLINGLIN6b-1980-2006-JENSEN","New Zealand Shelf","Genypterus blacodes","Ling","New Zealand Areas LIN 6b",46,1,27,27,8746.48,8746.48
"230",230,230,"NZMFishMIDDEPTHSWG-NZLINGLIN72-1972-2007-JENSEN","New Zealand Shelf","Genypterus blacodes","Ling","New Zealand Areas LIN 72",46,1,36,36,4700.54,4700.54
"231",231,231,"NZMFishMIDDEPTHSWG-NZLINGLIN7WC-1972-2008-JENSEN","New Zealand Shelf","Genypterus blacodes","Ling","New Zealand Areas LIN 7WC-WCSI",46,1,37,37,51353.8,51353.8
"232",232,232,"NZMFishMIDDEPTHSWG-SBWHITACIR-1979-2006-JENSEN","New Zealand Shelf","Micromesistius australis","Southern blue whiting","New Zealand - Campbell Island Rise",46,1,28,28,73932.1,73932.1
"233",233,233,"NZMFishMIDDEPTHSWG-SOUTHHAKECR-1975-2006-JENSEN","New Zealand Shelf","Merluccius australis","Southern hake","Chatham Rise",46,1,32,32,43967.4,43967.4
"234",234,234,"NZMFishMIDDEPTHSWG-SOUTHHAKESA-1975-2007-JENSEN","New Zealand Shelf","Merluccius australis","Southern hake","Sub-Antarctic",46,1,33,33,61222.2,61222.2
"235",235,235,"NZMFishSHELLFISHWG-PAUAPAU5A-1964-2006-JENSEN","New Zealand Shelf","Haliotis iris",NA,NA,46,1,43,42,704.538,704.538
"236",236,236,"NZMFishSHELLFISHWG-PAUAPAU5B-1963-2007-JENSEN","New Zealand Shelf","Haliotis iris",NA,NA,46,1,45,44,1539.47,1539.47
"237",237,237,"NZMFishSHELLFISHWG-PAUAPAU5D-1964-2006-JENSEN","New Zealand Shelf","Haliotis iris",NA,NA,46,1,43,42,904.785,904.785
"238",238,238,"NZMFishSHELLFISHWG-PAUAPAU7-1964-2008-JENSEN","New Zealand Shelf","Haliotis iris",NA,NA,46,1,45,44,1977.12,1977.12
"239",239,239,"PFMC-LINGCODNPCOAST-1956-2005-STANTON","California Current","Ophiodon elongatus","Lingcod","Northern Pacific Coast",3,1,0,49,NA,NA
"240",240,240,"PFMC-LINGCODSPCOAST-1956-2005-STANTON","California Current","Ophiodon elongatus","Lingcod","Southern Pacific Coast",3,1,0,49,NA,NA
"241",241,241,"RIDEM-LOBSTERRI-1959-2007-COLLIE","Northeast U.S. Continental Shelf","Homarus americanus","American lobster","Rhode Island",7,1,49,48,5744.06,5744.06
"242",242,242,"RIDEM-TAUTOGRI-1959-2007-COLLIE","Northeast U.S. Continental Shelf","Tautoga onitis","Tautog","Rhode Island",7,1,49,48,1478.22,1478.22
"243",243,243,"RIDEM-WINFLOUNDRI-1959-2007-COLLIE","Northeast U.S. Continental Shelf","Pseudopleuronectes americanus","Winter flounder","Rhode Island",7,1,49,48,38868.4,38868.4
"244",244,244,"SEFSC-BHEADSHARATL-1950-2005-FAUCONNET","Southeast U.S. Continental Shelf","Sphyrna tiburo","Bonnethead shark","Atlantic",6,2,56,56,1971.88,1971.88
"245",245,245,"SEFSC-BNOSESHARATL-1950-2005-FAUCONNET","Southeast U.S. Continental Shelf","Carcharhinus acronotus","Blacknose shark","Atlantic",6,2,56,0,NA,NA
"246",246,246,"SEFSC-BTIPSHARATL-1981-2004-FAUCONNET","Southeast U.S. Continental Shelf","Carcharhinus limbatus","Blacktip shark","Atlantic",6,2,24,24,25627.7,25627.7
"247",247,247,"SEFSC-BTIPSHARGM-1981-2004-FAUCONNET","Gulf of Mexico","Carcharhinus limbatus","Blacktip shark","Gulf of Mexico",5,1,24,24,12230.6,12230.6
"248",248,248,"SEFSC-FTOOTHSHARATL-1976-2005-FAUCONNET","Southeast U.S. Continental Shelf","Carcharhinus isodon","Finetooth shark","Atlantic",6,2,30,0,NA,NA
"249",249,249,"SEFSC-GAGGM-1963-2004-JENSEN","Gulf of Mexico","Mycteroperca microlepis","Gag","Gulf of Mexico",5,1,42,42,13767.4,13767.4
"250",250,250,"SEFSC-GAGSATLC-1962-2005-JENSEN","Southeast U.S. Continental Shelf","Mycteroperca microlepis","Gag","Southern Atlantic coast",6,1,43,0,NA,NA
"251",251,251,"SEFSC-GRAMBERGM-1986-2004-JENSEN","Gulf of Mexico","Seriola dumerili","Greater amberjack","Gulf of Mexico",5,1,19,19,NA,NA
"252",252,252,"SEFSC-GRAMBERSATLC-1946-2006-JENSEN","Southeast U.S. Continental Shelf","Seriola dumerili","Greater amberjack","Southern Atlantic coast",6,1,61,0,NA,NA
"253",253,253,"SEFSC-GTRIGGM-1981-2004-JENSEN","Gulf of Mexico","Balistes capriscus","Gray triggerfish","Gulf of Mexico",5,1,0,0,NA,NA
"254",254,254,"SEFSC-KMACKGM-1992-2001-JENSEN","Gulf of Mexico","Scomberomorus cavalla","King Mackerel","Gulf of Mexico",5,1,10,10,NA,NA
"255",255,255,"SEFSC-KMACKSATLC-1981-2001-JENSEN","Southeast U.S. Continental Shelf","Scomberomorus cavalla","King Mackerel","Southern Atlantic coast",6,1,10,21,NA,NA
"256",256,256,"SEFSC-MENATGM-1964-2004-GILROY","Gulf of Mexico","Brevoortia patronus","Gulf menhaden","Gulf of Mexico",5,1,41,41,2442840,2442840
"257",257,257,"SEFSC-MUTSNAPSATLCGM-1981-2006-JENSEN","Southeast U.S. Continental Shelf","Lutjanus analis","Mutton snapper","Southern Atlantic coast and Gulf of Mexico",6,2,26,0,NA,NA
"258",258,258,"SEFSC-RGROUPGM-1986-2005-JENSEN","Gulf of Mexico","Epinephelus morio","Red grouper","Gulf of Mexico",5,1,20,20,239884,239884
"259",259,259,"SEFSC-RPORGYSATLC-1972-2004-JENSEN","Southeast U.S. Continental Shelf","Pagrus pagrus","Red porgy","Southern Atlantic coast",6,1,33,33,4660.04,4660.04
"260",260,260,"SEFSC-RSNAPEGM-1872-2003-STANTON","Gulf of Mexico","Lutjanus campechanus","Red snapper","Eastern Gulf of Mexico",5,1,0,132,NA,NA
"261",261,261,"SEFSC-RSNAPSATLC-1945-2006-JENSEN","Southeast U.S. Continental Shelf","Lutjanus campechanus","Red snapper","Southern Atlantic coast",6,1,62,0,NA,NA
"262",262,262,"SEFSC-RSNAPWGM-1880-2003-STANTON","Gulf of Mexico","Lutjanus campechanus","Red snapper","Western Gulf of Mexico",5,1,0,124,NA,NA
"263",263,263,"SEFSC-SBARSHARATL-1975-2004-FAUCONNET","Scotian Shelf","Carcharhinus plumbeus","Sandbar shark","Atlantic",8,2,30,24,2.29e+15,2.28699e+15
"264",264,264,"SEFSC-SNOSESHARATL-1950-2005-FAUCONNET","Southeast U.S. Continental Shelf","Rhizoprionodon terraenovae","Atlantic sharpnose shark","Atlantic",6,2,0,56,NA,NA
"265",265,265,"SEFSC-SNOWGROUPSATLC-1961-2002-STANTON","Southeast U.S. Continental Shelf","Epinephelus niveatus","Snowy grouper","Southern Atlantic coast",6,1,42,41,2103.64,2103.64
"266",266,266,"SEFSC-SPANMACKSATLC-1950-2008-JENSEN","Southeast U.S. Continental Shelf","Scomberomorus maculatus","Spanish mackerel","Southern Atlantic coast",6,1,59,58,34166.5,34166.5
"267",267,267,"SEFSC-TILESATLC-1961-2002-STANTON","Southeast U.S. Continental Shelf","Lopholatilus chamaeleonticeps","Tilefish","Southern Atlantic coast",6,1,42,41,3472.64,3472.64
"268",268,268,"SEFSC-VSNAPGM-1981-2004-JENSEN","Gulf of Mexico","Rhomboplites aurorubens","Vermilion snapper","Gulf of Mexico",5,1,0,24,NA,NA
"269",269,269,"SEFSC-VSNAPSATLC-1946-2008-STANTON","Southeast U.S. Continental Shelf","Rhomboplites aurorubens","Vermilion snapper","Southern Atlantic coast",6,1,63,50,4031.9,4031.9
"270",270,270,"SEFSC-YTSNAPSATLC-1962-2001-STANTON","Southeast U.S. Continental Shelf","Ocyurus chrysurus","Yellowtail snapper","Southern Atlantic coast",6,1,0,40,NA,NA
"271",271,271,"SFI-WPOLLNSO-1985-1994-JENSEN","Sea of Okhotsk","Theragra chalcogramma","Walleye pollock","Northern Sea of Okhotsk",52,1,10,8,NA,NA
"272",272,272,"SPC-ALBASPAC-1959-2006-JENSEN","Pacific High Seas","Thunnus alalunga","Albacore tuna","South Pacific Ocean",-99,1,48,48,538957,538957
"273",273,273,"SPC-BIGEYEWPO-1952-2006-JENSEN","Pacific High Seas","Thunnus obesus","Bigeye tuna","Western Pacific Ocean",-99,1,55,55,501459,501459
"274",274,274,"SPC-SKJCWPAC-1972-2006-JENSEN","Pacific High Seas","Katsuwonus pelamis","Skipjack tuna","Central Western Pacific",-99,1,35,35,5850390,5850390
"275",275,275,"SPC-STMARLINSWPO-1950-2003-JENSEN","Pacific High Seas","Kajikia audax","Striped marlin","Western Pacific Ocean",-99,1,54,54,18260.9,18260.9
"276",276,276,"SPC-YFINCWPAC-1952-2005-JENSEN","Pacific High Seas","Thunnus albacares","Yellowfin tuna","Central Western Pacific",-99,1,54,54,2494860,2494860
"277",277,277,"SPRFMO-CHTRACCH-1950-2010-RICARD","Humboldt Current","Trachurus murphyi","Chilean jack mackerel","Chilean EEZ and offshore",13,1,41,61,35673600,35673600
"278",278,278,"SWFSC-CALSCORPSCAL-1990-2005-STANTON","California Current","Scorpaena guttata","California scorpionfish","Southern California",3,1,11,0,NA,NA
"279",279,279,"SWFSC-CMACKPCOAST-1929-2008-PINSKY","California Current","Scomber japonicus","Pacific chub mackerel","Pacific Coast",3,1,0,80,NA,NA
"280",280,280,"SWFSC-DSOLEPCOAST-1910-2005-STANTON","California Current","Microstomus pacificus","Dover sole","Pacific Coast",3,1,96,95,281000,281000
"281",281,281,"SWFSC-GOPHERSPCOAST-1965-2005-STANTON","California Current","Sebastes carnatus","Gopher rockfish","Southern Pacific Coast",3,1,41,40,5659.13,5659.13
"282",282,282,"SWFSC-SARDPCOAST-1981-2007-PINSKY","California Current","Sardinops sagax","Pacific sardine","Pacific Coast",3,2,27,10,NA,NA
"283",283,283,"SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH","California Current","Sebastes jordani","Shortbelly rockfish","Pacific Coast",3,1,56,56,4.78e-06,4.77998e-06
"284",284,284,"SWFSC-STFLOUNNPCOAST-1970-2005-STANTON","California Current","Platichthys stellatus","Starry flounder","Northern Pacific Coast",3,1,36,35,7718.91,7718.91
"285",285,285,"SWFSC-STFLOUNSPCOAST-1970-2005-STANTON","California Current","Platichthys stellatus","Starry flounder","Southern Pacific Coast",3,1,36,35,3129.59,3129.59
"286",286,286,"TAFI-TASGIANTCRABTAS-1990-2007-JENSEN","Southeast Australian Shelf","Pseudocarcinus gigas","Tasmanian giant crab","Tasmania",42,1,18,18,NA,NA
"287",287,287,"VNIRO-WPOLLWBS-1994-2004-JENSEN","West Bering Sea","Theragra chalcogramma","Walleye pollock","Western Bering Sea",53,1,11,11,NA,NA
"288",288,288,"WGBFAS-CODBA2224-1969-2007-JENNINGS","Baltic Sea","Gadus morhua","Atlantic cod","Western Baltic",23,1,37,37,135573,135573
"289",289,289,"WGBFAS-CODBA2532-1964-2007-JENNINGS","Baltic Sea","Gadus morhua","Atlantic cod","Eastern Baltic",23,1,41,42,1263170,1263170
"290",290,290,"WGBFAS-CODKAT-1970-2006-MINTO","North Sea","Gadus morhua","Atlantic cod","Kattegat and Skagerrak",22,1,36,36,42492.8,42492.8
"291",291,291,"WGBFAS-HERR2532-1973-2006-JENNINGS","Baltic Sea","Clupea harengus","Herring","Eastern Baltic",23,1,33,33,1909120,1909120
"292",292,292,"WGBFAS-HERR30-1972-2007-JENNINGS","Baltic Sea","Clupea harengus","Herring","Bothnian Sea",23,1,34,34,358191,358191
"293",293,293,"WGBFAS-HERR31-1979-2006-JENNINGS","Baltic Sea","Clupea harengus","Herring","Bothnian Bay",23,1,27,27,58098.2,58098.2
"294",294,294,"WGBFAS-HERRIsum-1983-2007-JENNINGS","Iceland Shelf","Clupea harengus","Herring","Iceland Grounds",59,1,22,21,1371450,1371450
"295",295,295,"WGBFAS-HERRRIGA-1976-2007-JENNINGS","Baltic Sea","Clupea harengus","Herring","Gulf of Riga East of Gotland",23,1,30,30,117463,117463
"296",296,296,"WGBFAS-SOLEIIIa-1982-2007-JENNINGS","North Sea","Solea vulgaris","common European sole","Kattegat and Skagerrak",22,1,23,23,3800.76,3800.76
"297",297,297,"WGBFAS-SPRAT22-32-1973-2007-JENNINGS","Baltic Sea","Sprattus sprattus","Sprat","Baltic Areas 22-32",23,1,33,33,1610160,1610160
"298",298,298,"WGHMM-FMEG8c9a-1986-2006-JENNINGS","Iberian Coastal","Lepidorhombus boscii","Fourspotted megrim","VIIIc-IXa",25,1,21,21,2.31e+15,2.31095e+15
"299",299,299,"WGHMM-HAKENRTN-1977-2007-JENNINGS","Celtic-Biscay Shelf","Merluccius merluccius","Hake","IIIa-IV-VI-VII-VIIIabd",24,2,28,28,232284,232284
"300",300,300,"WGHMM-HAKESOTH-1982-2007-JENNINGS","Iberian Coastal","Merluccius merluccius","Hake","VIIIc-IXa",25,1,0,26,NA,NA
"301",301,301,"WGHMM-MEG8c9a-1985-2007-JENNINGS","Iberian Coastal","Lepidorhombus whiffiagonis","Megrim","VIIIc-IXa",25,1,21,21,5154.81,5154.81
"302",302,302,"WGHMM-SOLEVIII-1982-2006-JENNINGS","Celtic-Biscay Shelf","Solea vulgaris","common European sole","Bay of Biscay",24,2,23,23,25225.1,25225.1
"303",303,303,"WGMHSA-ANCHOBAYB-1986-2007-JENNINGS","Celtic-Biscay Shelf","Engraulis encrasicolus","Anchovy","Bay of Biscay",24,2,0,20,NA,NA
"304",304,304,"WGMHSA-MACKNEICES-1972-2007-JENNINGS","Celtic-Biscay Shelf","Scomber scombrus","Mackerel","IIa-IIIabd-IV-Vb-VI-VII-VIIIabcde-XII-XIV-Ixa",24,3,35,35,2986850,2986850
"305",305,305,"WGMHSA-SARDPVIIIc-IXa-1978-2007-JENNINGS","Iberian Coastal","Sardina pilchardus","European pilchard","VIIIc-IXa",25,1,0,29,NA,NA
"306",306,306,"WGNPBW-BWHITNEA-1980-2007-JENNINGS","Celtic-Biscay Shelf","Micromesistius poutassou","Blue whiting","Northeast Atlantic",24,5,27,26,10523200,10523200
"307",307,307,"WGNSDS-CODIS-1968-2006-MINTO","Celtic-Biscay Shelf","Gadus morhua","Atlantic cod","Irish Sea",24,1,39,39,51611.1,51611.1
"308",308,308,"WGNSDS-CODVIa-1977-2006-MINTO","Celtic-Biscay Shelf","Gadus morhua","Atlantic cod","West of Scotland",24,1,29,29,66571.6,66571.6
"309",309,309,"WGNSDS-HADIS-1972-2006-MINTO","Celtic-Biscay Shelf","Melanogrammus aeglefinus","Haddock","Irish Sea",24,1,15,34,NA,NA
"310",310,310,"WGNSDS-HADVIa-1977-2006-MINTO","Celtic-Biscay Shelf","Melanogrammus aeglefinus","Haddock","West of Scotland",24,1,29,29,78659.9,78659.9
"311",311,311,"WGNSDS-PLAICIS-1962-2006-MINTO","Celtic-Biscay Shelf","Pleuronectes platessa","European Plaice","Irish Sea",24,1,43,43,12397.2,12397.2
"312",312,312,"WGNSDS-SOLEIS-1968-2006-MINTO","Celtic-Biscay Shelf","Solea vulgaris","common European sole","Irish Sea",24,1,37,37,5913.34,5913.34
"313",313,313,"WGNSDS-WHITVIa-1984-2007-MINTO","Celtic-Biscay Shelf","Merlangius merlangus","Whiting","West of Scotland",24,1,23,0,NA,NA
"314",314,314,"WGNSSK-CODNS-1962-2007-MINTO","North Sea","Gadus morhua","Atlantic cod","North Sea",22,1,44,44,836284,836284
"315",315,315,"WGNSSK-HADNS-IIIa-1963-2006-MINTO","North Sea","Melanogrammus aeglefinus","Haddock","IIIa and North Sea",22,1,44,44,1667420,1667420
"316",316,316,"WGNSSK-HADROCK-1990-2007-JENNINGS","Celtic-Biscay Shelf","Melanogrammus aeglefinus","Haddock","Rockall Bank",24,1,16,16,NA,NA
"317",317,317,"WGNSSK-NPOUTNS-1983-2007-MINTO","North Sea","Trisopterus esmarkii","Norway pout","North Sea",22,1,24,24,659068,659068
"318",318,318,"WGNSSK-PLAIC7d-1979-2006-MINTO","Celtic-Biscay Shelf","Pleuronectes platessa","European Plaice","Eastern English Channel",24,1,0,27,NA,NA
"319",319,319,"WGNSSK-PLAICIIIa-1976-2006-MINTO","North Sea","Pleuronectes platessa","European Plaice","Kattegat and Skagerrak",22,1,0,29,NA,NA
"320",320,320,"WGNSSK-PLAICNS-1956-2006-MINTO","North Sea","Pleuronectes platessa","European Plaice","North Sea",22,1,0,50,NA,NA
"321",321,321,"WGNSSK-POLLNS-VI-IIIa-1964-2006-MINTO","North Sea","Pollachius virens","Pollock","IIIa, VI and North Sea",22,2,40,40,1036930,1036930
"322",322,322,"WGNSSK-SEELNS-1983-2007-MINTO","North Sea","Ammodytes marinus","Sand lance","North Sea",22,1,25,25,1904420,1904420
"323",323,323,"WGNSSK-SOLENS-1956-2006-MINTO","North Sea","Solea vulgaris","common European sole","North Sea",22,1,0,50,NA,NA
"324",324,324,"WGNSSK-SOLEVIId-1981-2006-MINTO","Celtic-Biscay Shelf","Solea vulgaris","common European sole","Eastern English Channel",24,1,25,25,15948.5,15948.5
"325",325,325,"WGNSSK-WHITNS-VIId-IIIa-1979-2006-MINTO","North Sea","Merlangius merlangus","Whiting","IIIa, VIId and North Sea",22,2,27,27,457963,457963
"326",326,326,"WGSSDS-HADVIIb-k-1993-2006-JENNINGS","Celtic-Biscay Shelf","Melanogrammus aeglefinus","Haddock","ICES VIIb-k",24,1,14,14,NA,NA
"327",327,327,"WGSSDS-PLAICCELT-1976-2006-JENNINGS","Celtic-Biscay Shelf","Pleuronectes platessa","European Plaice","Celtic Sea",24,1,30,30,3940.92,3940.92
"328",328,328,"WGSSDS-PLAICECHW-1975-2006-JENNINGS","Celtic-Biscay Shelf","Pleuronectes platessa","European Plaice","Western English Channel",24,1,31,31,7041.32,7041.32
"329",329,329,"WGSSDS-SOLECS-1970-2006-JENNINGS","Celtic-Biscay Shelf","Solea vulgaris","common European sole","Celtic Sea",24,1,36,36,4435.45,4435.45
"330",330,330,"WGSSDS-SOLEVIIe-1968-2006-JENNINGS","Celtic-Biscay Shelf","Solea vulgaris","common European sole","Western English Channel",24,1,38,38,6929.88,6929.88
"331",331,331,"WGSSDS-WHITVIIek-1982-2007-JENNINGS","Celtic-Biscay Shelf","Merlangius merlangus","Whiting","Celtic Sea",24,1,25,25,60728.9,60728.9
