"","ASSESSID","X.1","X","LME_NAME","ADMB_BMSY","BRP_BMSY","BRP_SSBMSY","NUM_TOTAL","NUM_SSB","SCIENTIFICNAME","UMSY","FMSY","LME_NUMBER","LME_COUNT","final_analysis","upper_thresh","C_msy","collapse_brp_bmsy","collapse_brp_ssbmsy","collapse_cmsy","collapse_admb","TS_LENGTH","short_ID","BMSY"
"1","ADFG-HERRPWS-1980-2006-COLLIE",1,1,"Gulf of Alaska",141792,NA,NA,27,27,"Clupea pallasii",NA,NA,2,1,1,NA,50.0072313304261,NA,NA,0,1,27,"ADFG1",FALSE
"2","ADFG-HERRSITKA-1978-2007-COLLIE",2,2,"Gulf of Alaska",88967.7,NA,NA,30,30,"Clupea pallasii",NA,NA,2,1,1,NA,64.5863478533506,NA,NA,0,1,30,"ADFG2",FALSE
"3","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",3,3,"East Bering Sea",884410,NA,129300,34,34,"Pleuronectes quadrituberculatus",NA,0.62,1,1,1,NA,15.9781196463947,NA,0,0,0,34,"AFSC3",FALSE
"4","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",4,4,"East Bering Sea",850373,NA,292200,33,33,"Reinhardtius stomias",NA,NA,1,1,1,NA,15.9444282709052,NA,0,0,0,33,"AFSC4",FALSE
"5","AFSC-ARFLOUNDGA-1958-2010-STANTON",5,5,"Gulf of Alaska",1692250,NA,428307,47,50,"Reinhardtius stomias",NA,NA,2,1,1,NA,22.8282066196346,NA,0,0,0,50,"AFSC5",FALSE
"6","AFSC-ATKABSAI-1976-2009-STANTON",6,6,"East Bering Sea",312447,NA,85500,33,33,"Pleurogrammus monopterygius",NA,NA,1,1,1,NA,60.7672137819611,NA,0,0,0,33,"AFSC6",FALSE
"7","AFSC-CABEZNCAL-1916-2005-STANTON",7,7,"California Current",966.971,NA,426,90,90,"Scorpaenichthys marmoratus",0.13,NA,3,1,1,NA,0.0970097981820929,NA,0,0,0,90,"AFSC7",FALSE
"8","AFSC-CABEZSCAL-1932-2005-STANTON",8,8,"California Current",217.836,NA,96,74,74,"Scorpaenichthys marmoratus",0.13,NA,3,1,1,NA,0.0294566564216725,NA,0,0,0,74,"AFSC8",FALSE
"9","AFSC-DSOLEGA-1978-2010-STANTON",9,9,"Gulf of Alaska",75052.1,NA,NA,27,24,"Microstomus pacificus",NA,NA,2,1,1,NA,2.19556386296022,NA,NA,0,0,27,"AFSC9",FALSE
"10","AFSC-DUSROCKGA-1973-2008-MELNYCHUK",10,10,"Gulf of Alaska",60993.8,NA,15511,31,31,"Sebastes variabilis",NA,0.107,2,1,1,NA,3.07413076537685,NA,0,0,0,31,"AFSC10",FALSE
"11","AFSC-FLSOLEBSAI-1977-2008-STANTON",11,11,"East Bering Sea",494925,NA,139188,32,32,"Hippoglossoides elassodon",NA,0.279,1,1,1,NA,18.4319729150528,NA,0,0,0,32,"AFSC11",FALSE
"12","AFSC-FLSOLEGA-1978-2010-Stachura",12,12,"Gulf of Alaska",173561,NA,43661,27,27,"Hippoglossoides elassodon",NA,0.481,2,1,1,NA,2.9933273285677,NA,0,0,0,27,"AFSC12",FALSE
"13","AFSC-GHALBSAI-1960-2009-STANTON",13,13,"East Bering Sea",4.11167e+17,NA,38265,50,50,"Reinhardtius hippoglossoides",NA,0.566,1,1,1,1719390,25.1057989584427,NA,0,0,1,50,"AFSC13",FALSE
"14","AFSC-GKINGCRABAIES-1990-2007-JENSEN",14,14,"East Bering Sea",NA,NA,38018,0,18,"Lithodes aequispinus",NA,NA,1,1,1,NA,NA,NA,0,NA,NA,18,NA,NA
"15","AFSC-GKINGCRABAIWS-1989-2007-JENSEN",15,15,"East Bering Sea",NA,NA,42848,0,19,"Lithodes aequispinus",NA,NA,1,1,1,NA,NA,NA,0,NA,NA,19,NA,NA
"16","AFSC-NROCKBSAI-1974-2009-STANTON",16,16,"East Bering Sea",185876,NA,48399,33,33,"Sebastes polyspinis",NA,0.0511,1,1,1,NA,3.43693651277945,NA,0,0,0,33,"AFSC14",FALSE
"17","AFSC-NROCKGA-1959-2008-MELNYCHUK",17,17,"Gulf of Alaska",73445.3,NA,19500,48,48,"Sebastes polyspinis",NA,0.073,2,1,1,NA,3.96550411156218,NA,0,0,0,48,"AFSC15",FALSE
"18","AFSC-NRSOLEEBSAI-1971-2008-STANTON",18,18,"East Bering Sea",957339,NA,173320,34,33,"Lepidopsetta polyxystra",NA,0.183,1,1,1,NA,46.7043516467911,NA,0,0,1,34,"AFSC16",FALSE
"19","AFSC-PCODBSAI-1964-2008-MELNYCHUK",19,19,"East Bering Sea",1315070,NA,373000,32,32,"Gadus macrocephalus",NA,0.34,1,1,1,NA,202.710933442635,NA,0,0,0,32,"AFSC17",FALSE
"20","AFSC-PCODGA-1964-2008-MELNYCHUK",20,20,"Gulf of Alaska",290444,NA,89400,32,32,"Gadus macrocephalus",NA,0.64,2,1,1,NA,59.685075724934,NA,0,0,0,32,"AFSC18",FALSE
"21","AFSC-PERCHEBSAI-1974-2009-STANTON",21,21,"East Bering Sea",240138,NA,107627,33,33,"Sebastes alutus",NA,0.068,1,1,1,NA,13.096736313599,NA,0,0,0,33,"AFSC19",FALSE
"22","AFSC-POPERCHGA-1959-2010-Stachura",22,22,"Gulf of Alaska",1.1544e+18,NA,79664,50,34,"Sebastes alutus",NA,0.142,2,1,1,2369480,NA,NA,0,NA,1,50,"AFSC20",FALSE
"23","AFSC-REXSOLEGA-1979-2008-STANTON",23,23,"Gulf of Alaska",113262,NA,18877,26,26,"Glyptocephalus zachirus",NA,10.23,2,1,1,NA,2.55676322811664,NA,0,0,0,26,"AFSC21",FALSE
"24","AFSC-REYEROCKBSAI-1974-2009-STANTON",24,24,"East Bering Sea",48958.9,NA,5883,33,33,"Sebastes aleutianus",NA,NA,1,1,1,42594,0.639131374990637,NA,0,0,0,33,"AFSC22",FALSE
"25","AFSC-REYEROCKGA-1974-2007-MELNYCHUK",25,25,"Gulf of Alaska",25952.4,NA,8694,31,31,"Sebastes aleutianus",NA,0.047,2,1,1,NA,0.805363518821333,NA,0,0,0,31,"AFSC23",FALSE
"26","AFSC-RKCRABBB-1960-2008-JENSEN",26,26,"East Bering Sea",6.20751e+15,NA,34070,24,24,"Paralithodes camtschaticus",0.33,NA,1,1,1,207801.38,17.0434702706691,NA,0,0,1,24,"AFSC24",FALSE
"27","AFSC-RKCRABNS-1976-2008-JENSEN",27,27,"East Bering Sea",NA,NA,1617.96,0,33,"Paralithodes camtschaticus",NA,NA,1,1,1,NA,NA,NA,0,NA,NA,33,NA,NA
"28","AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK",28,28,"East Bering Sea",318547,NA,100730,49,49,"Anoplopoma fimbria",NA,0.101,1,2,1,NA,22.0416420522107,NA,0,0,0,49,"AFSC25",FALSE
"29","AFSC-SNOWCRABBS-1979-2008-JENSEN",29,29,"East Bering Sea",1222480,NA,418030.728,30,30,"Chionoecetes opilio",NA,NA,1,1,1,NA,63.3972186602008,NA,0,0,1,30,"AFSC26",FALSE
"30","AFSC-SRAKEROCKBSAI-1977-2008-STANTON",30,30,"East Bering Sea",1.53098e-07,NA,139188,29,0,"Sebastes borealis",NA,0.0225,1,1,1,NA,0.499508404122497,NA,1,0,0,29,"AFSC27",FALSE
"31","AFSC-WPOLLAI-1976-2008-MELNYCHUK",31,31,"East Bering Sea",3.57638e+16,NA,98987,31,31,"Theragra chalcogramma",NA,0.357,1,1,1,3170200,38.757008946037,NA,0,0,1,31,"AFSC28",FALSE
"32","AFSC-WPOLLEBS-1963-2008-MELNYCHUK",32,32,"East Bering Sea",6223020,NA,1919000,45,45,"Theragra chalcogramma",NA,NA,1,1,1,NA,1347.68634118281,NA,0,0,0,45,"AFSC29",FALSE
"33","AFSC-WPOLLGA-1964-2008-MELNYCHUK",33,33,"Gulf of Alaska",2010230,903000,208000,32,32,"Theragra chalcogramma",0.187,0.286,2,1,1,NA,100.27840727858,0,0,0,0,32,"AFSC30",FALSE
"34","AFSC-YSOLEBSAI-1959-2008-MELNYCHUK",34,34,"East Bering Sea",6435350,NA,329000,45,45,"Limanda aspera",NA,0.13,1,1,1,5669340,125.711094314655,NA,0,0,1,45,"AFSC31",FALSE
"35","AFWG-CAPENOR-1965-2007-MINTO",35,35,"Barents Sea",5200350,NA,NA,35,27,"Mallotus villosus",NA,NA,20,1,1,NA,1136.88162412216,NA,NA,0,1,35,"AFWG32",FALSE
"36","AFWG-CODCOASTNOR-1982-2006-MINTO",36,36,"Norwegian Sea",428945,NA,NA,23,23,"Gadus morhua",NA,NA,21,2,1,NA,47.0882939370449,NA,NA,0,1,23,"AFWG33",FALSE
"37","AFWG-CODNEAR-1943-2006-MINTO",37,37,"Barents Sea",2604060,NA,NA,61,61,"Gadus morhua",NA,NA,20,2,1,NA,729.622290650009,NA,NA,0,0,61,"AFWG34",FALSE
"38","AFWG-GHALNEAR-1959-2007-JENNINGS",38,38,"Barents Sea",492579,NA,NA,43,43,"Reinhardtius hippoglossoides",NA,NA,20,2,1,NA,28.0671109642575,NA,NA,0,1,43,"AFWG35",FALSE
"39","AFWG-GOLDREDNEAR-1986-2006-MINTO",39,39,"Barents Sea",NA,NA,NA,17,17,"Sebastes norvegicus",NA,NA,20,2,1,NA,17.8411648306167,NA,NA,0,NA,17,NA,NA
"40","AFWG-HADNEAR-1947-2006-MINTO",40,40,"Barents Sea",439090,NA,NA,57,57,"Melanogrammus aeglefinus",NA,NA,20,2,1,NA,154.722306993444,NA,NA,0,1,57,"AFWG36",FALSE
"41","AFWG-POLLNEAR-1957-2006-MINTO",41,41,"Barents Sea",772332,NA,NA,47,47,"Pollachius virens",NA,NA,20,2,1,NA,188.339542583109,NA,NA,0,0,47,"AFWG37",FALSE
"42","ASMFC-ATLCROAKMATLC-1973-2002-STANTON",42,42,"Northeast U.S. Continental Shelf",NA,NA,56467,0,30,"Micropogonias undulatus",NA,0.407,7,1,1,NA,14.4090679381342,NA,0,0,NA,30,NA,NA
"43","ASMFC-LOBSTERGB-1981-2007-STANTON",43,43,"Northeast U.S. Continental Shelf",NA,NA,NA,0,26,"Homarus americanus",NA,NA,7,1,1,NA,1.83687531412142,NA,NA,0,NA,26,NA,NA
"44","ASMFC-LOBSTERGOM-1981-2007-STANTON",44,44,"Northeast U.S. Continental Shelf",NA,NA,NA,0,26,"Homarus americanus",NA,NA,7,1,1,NA,31.4252113723352,NA,NA,0,NA,26,NA,NA
"45","ASMFC-LOBSTERSNE-1981-2007-STANTON",45,45,"Northeast U.S. Continental Shelf",NA,NA,NA,0,26,"Homarus americanus",NA,NA,7,1,1,NA,5.31318609451905,NA,NA,0,NA,26,NA,NA
"46","ASMFC-PANDALGOM-1960-2009-IDOINE",46,46,"Northeast U.S. Continental Shelf",17796.4,NA,NA,25,0,"Pandalus borealis",NA,0.77,7,1,1,NA,4.22884950012771,NA,NA,0,0,25,"ASMFC38",FALSE
"47","CCAMLR-ATOOTHFISHRS-1995-2007-JENSEN",47,47,"Subantarctic High Seas",NA,18802.1604,NA,13,13,"Dissostichus mawsoni",NA,0.136,-96,1,1,NA,2.15793460218278,0,NA,0,NA,13,NA,NA
"48","CCSBT-SC-SBT-1931-2009-Parma",48,48,"Indian High Seas",589220,NA,277047.0811,79,79,"Thunnus maccoyii",NA,NA,-97,3,1,NA,35.1574487284651,NA,0,0,1,79,"CCSBT39",FALSE
"49","CSIRO-BIGHTREDSE-1958-2007-FULTON",49,49,"Southwest Australian Shelf",389763,NA,16240.128,50,50,"Centroberyx gerrardi",NA,NA,43,1,1,140719.8,0.668902878429822,NA,0,0,0,50,"CSIRO40",FALSE
"50","CSIRO-BTSHRIMPNAUST-1970-2006-FULTON",50,50,"North Australian Shelf",NA,NA,NA,0,37,"Penaeus esculentus",NA,NA,39,1,1,NA,1.4650899967929,NA,NA,0,NA,37,NA,NA
"51","CSIRO-DEEPFLATHEADSE-1978-2007-FULTON",51,51,"Southwest Australian Shelf",7626.82,NA,3286.512,30,30,"Platycephalus conatus",NA,NA,43,1,1,NA,1.10443427789007,NA,0,0,0,30,"CSIRO41",FALSE
"52","CSIRO-GEMFISHSE-1966-2007-FULTON",52,52,"Southeast Australian Shelf",376410,NA,5458.32,42,42,"Rexea solandri",NA,NA,42,1,1,77330.8,2.69503601671457,NA,0,0,1,42,"CSIRO42",FALSE
"53","CSIRO-GTPRAWNNAUST-1970-2006-FULTON",53,53,"North Australian Shelf",NA,NA,NA,0,37,"Penaeus esculentus",NA,NA,39,1,1,NA,1.57360972996707,NA,NA,0,NA,37,NA,NA
"54","CSIRO-MORWONGSE-1913-2007-FULTON",54,54,"Southeast Australian Shelf",26588.8,NA,11482.608,95,95,"Nemadactylus macropterus",NA,NA,42,1,1,NA,1.4848583747778,NA,0,0,1,95,"CSIRO43",FALSE
"55","CSIRO-NZLINGESE-1968-2007-FULTON",55,55,"Southeast Australian Shelf",7133.25,NA,3324.48,40,40,"Genypterus blacodes",NA,NA,42,1,1,NA,0.904069914592278,NA,0,0,0,40,"CSIRO44",FALSE
"56","CSIRO-NZLINGWSE-1968-2007-FULTON",56,56,"Southwest Australian Shelf",1.49791e+15,NA,3377.5632,40,40,"Genypterus blacodes",NA,NA,43,1,1,34713,0.681987389032484,NA,0,0,0,40,"CSIRO45",FALSE
"57","CSIRO-OROUGHYCASCADE-1987-2006-FULTON",57,57,"Southeast Australian Shelf",42132.8,NA,NA,20,20,"Hoplostethus atlanticus",NA,NA,42,1,1,NA,1.01641513392452,NA,NA,0,0,20,"CSIRO46",FALSE
"58","CSIRO-OROUGHYSE-1978-2007-FULTON",58,58,"Southeast Australian Shelf",85184.3,NA,8149.26,30,30,"Hoplostethus atlanticus",NA,NA,42,1,1,NA,7.53692646436172,NA,0,0,0,30,"CSIRO47",FALSE
"59","CSIRO-PTOOTHFISHMI-1975-2010-FAY",59,59,"Subantarctic High Seas",4199.27,NA,869.707,36,36,"Dissostichus eleginoides",NA,0.0580997,-96,1,1,NA,0.166535545191551,NA,0,0,0,36,"CSIRO48",FALSE
"60","CSIRO-SILVERFISHSE-1978-2006-FULTON",60,60,"Southeast Australian Shelf",12232,NA,9927.456,29,29,"Seriolella punctata",NA,NA,42,1,1,NA,3.02810050326911,NA,0,0,0,29,"CSIRO49",FALSE
"61","CSIRO-SWHITSE-1945-2007-FULTON",61,61,"Southeast Australian Shelf",7078.35,NA,3734.3088,63,63,"Sillago flindersi",NA,NA,42,1,1,NA,1.65146837473977,NA,0,0,0,63,"CSIRO50",FALSE
"62","CSIRO-TIGERFLATSE-1913-2006-FULTON",62,62,"Southeast Australian Shelf",24226.6,NA,5472.868,94,94,"Neoplatycephalus richardsoni",NA,NA,42,1,1,NA,3.41522749881158,NA,0,0,0,94,"CSIRO51",FALSE
"63","CSIRO-WAREHOUESE-1984-2006-FULTON",63,63,"Southeast Australian Shelf",9010.24,NA,1568.16,23,23,"Seriolella brama",NA,NA,42,1,1,NA,1.00568589642845,NA,0,0,1,23,"CSIRO52",FALSE
"64","CSIRO-WAREHOUWSE-1984-2006-FULTON",64,64,"Southwest Australian Shelf",2103.89,NA,1568.16,23,23,"Seriolella brama",NA,NA,43,1,1,NA,0.445432057609892,NA,0,0,0,23,"CSIRO53",FALSE
"65","DFO-COD5Zjm-1978-2003-PREFONTAINE",65,65,"Northeast U.S. Continental Shelf",3.19294e+15,NA,NA,26,26,"Gadus morhua",NA,NA,7,1,1,98204,7.88355080489858,NA,NA,0,1,26,"DFO54",FALSE
"66","DFO-HAD5Zejm-1968-2003-PREFONTAINE",66,66,"Northeast U.S. Continental Shelf",403759,NA,NA,35,35,"Melanogrammus aeglefinus",NA,NA,7,1,1,157526,6.97573762037236,NA,NA,0,1,35,"DFO55",FALSE
"67","DFO-HERR4VWX-1964-2006-PREFONTAINE",67,67,"Scotian Shelf",NA,NA,NA,42,42,"Clupea harengus",NA,NA,8,1,1,NA,NA,NA,NA,NA,NA,42,NA,NA
"68","DFO-MAR-COD4VsW-1958-2002-PREFONTAINE",68,68,"Scotian Shelf",NA,NA,NA,0,33,"Gadus morhua",NA,NA,8,1,1,NA,44.1331126606663,NA,NA,0,NA,33,NA,NA
"69","DFO-MAR-CUSK4X-1970-2007-RICARD",69,69,"Northeast U.S. Continental Shelf",NA,25790,NA,38,0,"Brosme brosme",0.0575,NA,7,1,1,NA,NA,0,NA,NA,NA,38,NA,NA
"70","DFO-MAR-HAD4X5Y-1960-2003-PREFONTAINE",70,70,"Northeast U.S. Continental Shelf",277564,NA,NA,34,34,"Melanogrammus aeglefinus",NA,NA,7,2,1,180816,19.4698378511459,NA,NA,0,1,34,"DFO56",FALSE
"71","DFO-NFLD-COD2J3KL-1850-2005-RICARD",71,71,"Newfoundland-Labrador Shelf",NA,NA,NA,0,44,"Gadus morhua",NA,NA,9,1,1,NA,NA,NA,NA,NA,NA,44,NA,NA
"72","DFO-NFLD-COD2J3KLIS-1959-2006-PREFONTAINE",72,72,"Newfoundland-Labrador Shelf",NA,NA,NA,12,12,"Gadus morhua",NA,NA,9,1,1,NA,405.394182362799,NA,NA,0,NA,12,NA,NA
"73","DFO-NFLD-COD3Ps-1959-2004-PREFONTAINE",73,73,"Newfoundland-Labrador Shelf",230674,NA,NA,28,28,"Gadus morhua",NA,NA,9,1,1,NA,50.3287138968207,NA,NA,0,1,28,"DFO57",FALSE
"74","DFO-PAC-ESOLEHS-1944-2001-COLLIE",74,74,"Gulf of Alaska",2757.69,NA,NA,58,0,"Parophrys vetulus",NA,NA,2,1,1,NA,0.73565042959058,NA,NA,0,0,58,"DFO58",FALSE
"75","DFO-PAC-HERRCC-1951-2007-COLLIE",75,75,"Gulf of Alaska",37276,NA,NA,57,57,"Clupea pallasii",NA,NA,2,1,1,NA,17.7169387793911,NA,NA,0,1,57,"DFO59",FALSE
"76","DFO-PAC-HERRPRD-1951-2007-COLLIE",76,76,"Gulf of Alaska",5.89247e+15,NA,NA,57,57,"Clupea pallasii",NA,NA,2,1,1,217526.06,NA,NA,NA,NA,1,57,"DFO60",FALSE
"77","DFO-PAC-HERRQCI-1951-2007-COLLIE",77,77,"Gulf of Alaska",44812.6,NA,NA,57,57,"Clupea pallasii",NA,NA,2,1,1,NA,NA,NA,NA,NA,1,57,"DFO61",FALSE
"78","DFO-PAC-HERRSOG-1951-2007-COLLIE",78,78,"Gulf of Alaska",82875.5,NA,NA,57,57,"Clupea pallasii",NA,NA,2,1,1,NA,NA,NA,NA,NA,1,57,"DFO62",FALSE
"79","DFO-PAC-HERRWCVANI-1951-2007-COLLIE",79,79,"Gulf of Alaska",63187.1,NA,NA,57,57,"Clupea pallasii",NA,NA,2,1,1,NA,15.6383738538319,NA,NA,0,1,57,"DFO63",FALSE
"80","DFO-PAC-PCODHS-1956-2005-COLLIE",80,80,"Gulf of Alaska",26222.6,8861,NA,50,0,"Gadus macrocephalus",NA,0.354,2,1,1,NA,3.6110024644098,0,NA,0,1,50,"DFO64",FALSE
"81","DFO-PAC-PCODWCVANI-1956-2002-COLLIE",81,81,"Gulf of Alaska",15979.4,6731,NA,47,0,"Gadus macrocephalus",NA,0.226,2,1,1,NA,1.9418021530906,0,NA,0,1,47,"DFO65",FALSE
"82","DFO-PAC-RSOLEHSTR-1945-2001-COLLIE",82,82,"Gulf of Alaska",4726.97,NA,NA,57,57,"Lepidopsetta bilineata",NA,NA,2,1,1,NA,1.07782026459608,NA,NA,0,0,57,"DFO66",FALSE
"83","DFO-PAC-SABLEFPCAN-1913-2004-STANTON",83,83,"Gulf of Alaska",NA,NA,56381,0,25,"Anoplopoma fimbria",NA,0.047,2,1,1,NA,4.0017836362932,NA,0,0,NA,25,NA,NA
"84","DFO-POLL4X5YZ-1980-2006-PREFONTAINE",84,84,"Northeast U.S. Continental Shelf",61342.3,NA,NA,25,25,"Pollachius virens",NA,NA,7,2,1,NA,12.9374851585491,NA,NA,0,1,25,"DFO67",FALSE
"85","DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE",85,85,"Newfoundland-Labrador Shelf",1572080,NA,NA,34,34,"Gadus morhua",NA,NA,9,1,1,1205356,69.186865745375,NA,NA,0,1,34,"DFO68",FALSE
"86","DFO-QUE-HERR4RFA-1971-2003-PREFONTAINE",86,86,"Newfoundland-Labrador Shelf",NA,NA,NA,0,31,"Clupea harengus",NA,NA,9,1,1,NA,19.4044168401279,NA,NA,0,NA,31,NA,NA
"87","DFO-QUE-HERR4RSP-1963-2004-PREFONTAINE",87,87,"Newfoundland-Labrador Shelf",122669,NA,NA,40,40,"Clupea harengus",NA,NA,9,1,1,NA,27.7713641658238,NA,NA,0,0,40,"DFO69",FALSE
"88","DFO-SG-COD4TVn-1965-2009-RICARD",88,88,"Scotian Shelf",531036,NA,NA,39,39,"Gadus morhua",NA,NA,8,1,1,NA,47.3762057424403,NA,NA,0,1,39,"DFO70",FALSE
"89","DFO-SG-HERR4TFA-1974-2007-PREFONTAINE",89,89,"Scotian Shelf",306273,NA,NA,30,30,"Clupea harengus",NA,NA,8,1,1,NA,219.59807109131,NA,NA,0,1,30,"DFO71",FALSE
"90","DFO-SG-HERR4TSP-1974-2007-PREFONTAINE",90,90,"Scotian Shelf",155000,NA,NA,30,30,"Clupea harengus",NA,NA,8,1,1,NA,71.6766470548249,NA,NA,0,1,30,"DFO72",FALSE
"91","HAWG-HERR2224IIIa-1991-2006-MINTO",91,91,"North Sea",NA,NA,NA,16,16,"Clupea harengus",NA,NA,22,2,1,NA,125.78454445784,NA,NA,0,NA,16,NA,NA
"92","HAWG-HERRNIRS-1960-2006-JENNINGS",92,92,"Celtic-Biscay Shelf",96896.8,NA,NA,46,46,"Clupea harengus",NA,NA,24,1,1,NA,12.452558429759,NA,NA,0,1,46,"HAWG73",FALSE
"93","HAWG-HERRNS-1960-2007-MINTO",93,93,"North Sea",3514600,NA,NA,47,47,"Clupea harengus",NA,NA,22,1,1,NA,537.937116522933,NA,NA,0,1,47,"HAWG74",FALSE
"94","HAWG-HERRVIa-1957-2006-MINTO",94,94,"Celtic-Biscay Shelf",618720,NA,NA,49,49,"Clupea harengus",NA,NA,24,1,1,NA,80.9747443813123,NA,NA,0,1,49,"HAWG75",FALSE
"95","HAWG-HERRVIaVIIbc-1969-2000-MINTO",95,95,"Celtic-Biscay Shelf",212720,NA,NA,31,31,"Clupea harengus",NA,NA,24,1,1,NA,27.8769388797724,NA,NA,0,0,31,"HAWG76",FALSE
"96","HAWG-SPRATNS-1995-2007-MINTO",96,96,"North Sea",NA,NA,NA,12,0,"Sprattus sprattus",NA,NA,22,1,0,NA,NA,NA,NA,NA,NA,12,NA,NA
"97","IATTC-BIGEYEEPAC-1975-2007-JENSEN",97,97,"Pacific High Seas",NA,313767,NA,33,33,"Thunnus obesus",NA,NA,-99,1,1,NA,NA,0,NA,NA,NA,33,NA,NA
"98","IATTC-YFINEPAC-1975-2007-JENSEN",98,98,"Pacific High Seas",NA,417813,NA,33,33,"Thunnus albacares",NA,NA,-99,1,1,NA,NA,0,NA,NA,NA,33,NA,NA
"99","ICCAT-ALBANATL-1929-2005-WORM",99,99,"Atlantic High Seas",156416,167000,NA,76,76,"Thunnus alalunga",NA,0.181,-98,1,1,NA,43.1624434115977,0,NA,0,0,76,"ICCAT77",FALSE
"100","ICCAT-ATBTUNAEATL-1969-2007-WORM",100,100,"Atlantic High Seas",217916,495914.5,NA,38,38,"Thunnus thynnus",NA,0.1141685,-98,2,1,NA,52.8660897025327,0,NA,0,0,38,"ICCAT78",FALSE
"101","ICCAT-ATBTUNAWATL-1969-2007-WORM",101,101,"Atlantic High Seas",NA,15148,15148,0,38,"Thunnus thynnus",NA,0.15,-98,1,1,NA,3.97696617758642,0,0,0,NA,38,NA,NA
"102","ICCAT-BIGEYEATL-1950-2005-JENSEN",102,102,"Atlantic High Seas",450663,451800,NA,56,31,"Thunnus obesus",NA,0.201,-98,1,1,NA,99.153986570929,0,NA,0,0,56,"ICCAT79",FALSE
"103","ICCAT-SKJEATL-1950-2006-JENSEN",103,103,"Atlantic High Seas",383658,384159,NA,57,0,"Katsuwonus pelamis",NA,0.636753572,-98,1,1,NA,131.295445828825,0,NA,0,0,57,"ICCAT80",FALSE
"104","ICCAT-SKJWATL-1952-2006-JENSEN",104,104,"Atlantic High Seas",97261.2,100052,NA,55,0,"Katsuwonus pelamis",NA,0.489367075,-98,1,1,NA,28.9931885628254,0,NA,0,0,55,"ICCAT81",FALSE
"105","ICCAT-SWORDMED-1968-2006-JENSEN",105,105,"Mediterranean Sea",117281,117300,NA,39,0,"Xiphias gladius",0.1035,NA,26,1,1,NA,15.236738177261,0,NA,0,0,39,"ICCAT82",FALSE
"106","ICCAT-SWORDNATL-1978-2007-JENSEN",106,106,"Atlantic High Seas",45692.1,47399,NA,28,28,"Xiphias gladius",NA,0.3895,-98,1,1,NA,15.6664914522233,0,NA,0,0,28,"ICCAT83",FALSE
"107","ICCAT-SWORDSATL-1970-2005-JENSEN",107,107,"Atlantic High Seas",61520.2,46690,NA,36,0,"Xiphias gladius",NA,0.356,-98,1,1,NA,15.1116425326497,0,NA,0,0,36,"ICCAT84",FALSE
"108","ICCAT-YFINATL-1970-2006-JENSEN",108,108,"Atlantic High Seas",448174,NA,173191.0079,37,37,"Thunnus albacares",NA,0.73235,-98,1,1,NA,147.327318069139,NA,0,0,0,37,"ICCAT85",FALSE
"109","IMARM-SFMAKONWPAC-1990-2003-FAUCONNET",109,109,"Pacific High Seas",NA,NA,NA,0,0,"Isurus oxyrinchus",NA,NA,-99,3,1,NA,0.560185856730305,NA,NA,0,NA,0,NA,NA
"110","IMARPE-PANCHPERUNC-1963-2004-RICARD",110,110,"Humboldt Current",NA,NA,NA,0,42,"Engraulis ringens",NA,NA,13,1,1,NA,NA,NA,NA,NA,NA,42,NA,NA
"111","INIDEP-ARGANCHONARG-1989-2007-Parma",111,111,"Patagonian Shelf",NA,1047948.41,748152,18,18,"Engraulis anchoita",NA,0.1898,14,1,1,NA,29.1870914275616,0,0,0,NA,18,NA,NA
"112","INIDEP-ARGANCHOSARG-1992-2007-Parma",112,112,"Patagonian Shelf",NA,733418.85,298839,15,15,"Engraulis anchoita",NA,0.17,14,1,1,NA,3.56801651961006,0,0,0,NA,15,NA,NA
"113","INIDEP-ARGHAKENARG-1985-2007-Parma",113,113,"Patagonian Shelf",332235,602198,429200,22,22,"Merluccius hubbsi",0.28133,0.4322,14,1,1,NA,136.363454692487,1,0,0,0,22,"INIDEP86",FALSE
